id,toponimo,provincia,comune,bibliografia,etimologia,classificazione,localizzato,position_x,position_y,,,,,,,,,,,,,,,,,
1,Acerecta,Fermo,Amandola,,Giammarco,E.1990:3,Aceretum,,,=,Acereta.,,,fitotoponimo,No,0,0,,,,,,,,,
2,Acurano,Fermo,Amandola,,Non,determinabile,localit�,Si,361842,4762338,,,,,,,,,,,,,,,,
3,Agelli,Fermo,Amandola,Pieri,S.1969:281,Ager,=,campicello.,,,agrotoponimo,Si,366558,4760095,,,,,,,,,,,,
4,Alfenano,/,Alfanario,Fermo,Amandola,"Schulze 1966:221; Pieri S.1969:91; Giammarco E,1990:11",Alfius.,prediale,Si,365603,4761727,,,,,,,,,,,,,,,
5,Amandola,Fermo,Amandola,Pellegrini,G.B.,1981:282,Amandula,=,mandorla.,,,fitotoponimo,Si,366157,4759918,,,,,,,,,,,
6,Ancetani,/,Passo,Fermo,Amandola,,Non,determinabile,geotoponimo,Si,370490,4758864,,,,,,,,,,,,,,
7,Arca,Fermo,Amandola,Pieri,S.,1969:326,"Arcam =  segnacolo confinario rettangolare o squadrato spesso inciso; letteralmente cassetta, scatola.  ",gromatico,No,0,0,,,,,,,,,,,,,,,
8,Arili,Fermo,0,,Non,determinabile,localit�,Si,357309,4760953,,,,,,,,,,,,,,,,
9,Colles,Arsi,Fermo,Amandola,Pieri,S.,1969:245,Arsum,=,arido.,,oronimo,No,0,0,,,,,,,,,,,
10,Atriani,Fermo,Amandola,Schulze,1966:269,Atrius.,,prediale,No,0,0,,,,,,,,,,,,,,,
11,Acquaviva,Fermo,Amandola,Pieri,S.1969:279,Fonti,di,acqua,fresca,o,a,poca,profondit�.,,idronimo,No,0,0,,,,,,,,
12,Aquite,/,torrente,Macerata,Sarnano,,Non,determinabile,idronimo,Si,362100,4765462,,,,,,,,,,,,,,
13,Balzum,Fermo,Amandola,Giammarco,,E.,1990:31,Balteus,=,luogo,scosceso,e,rupestre.,,geotoponimo,No,0,0,,,,,,,,
14,Bisule,/,planum,Macerata,Sarnano,Pellegrini,G.B.,1981:283,Bigio.,,geotoponimo,Si,360813,4763026,,,,,,,,,,,,
15,Bolciano,Macerata,Sarnano,Pieri,S..,,1969:142,Volsius. ; ,prediale,Si,361802,4761512,,,,,,,,,,,,,,
16,Bossonica,/,Busonica,Ascoli,Piceno,Montefortino,,Non,determinabile,localit�,Si,366754,4755290,,,,,,,,,,,,,
17,Calbe,Fermo,Amandola,Giammarco,,E.,1990:54,Calvus,=,calvo,,pelato.,,geotoponimo,No,0,0,,,,,,,,,
18,Calluco,/,torrente,Fermo,Amandola,Giammarco  E.1990:53; Giammarco E. 1960:32,Callis,=,strada.,.,Oppure,Callu,-->,Calle,=,caldo,,calura,Giammarco,E,1960:32,idronimo,Si,365675,4760049,
19,Calvelli,Fermo,Amandola,Pieri,S.,,1969:250,Calvum,=,pelato.,,oronimo,Si,362831,4760065,,,,,,,,,,,
20,Cammurani,Macerata,Sarnano,Pellegrini,G.B.,1981:250,Camurius.,,prediale,Si,362234,4765132,,,,,,,,,,,,,,
